208,12GS,24GS,48GS
186.7092,211.5348,14.0937,107.4483
184.386,211.5348,226.275,93.096
181.02,211.5348,18.6192,121.87818
180.594,193.95,145.4625,120.71448
180.594,191.812,8.9217,90.53586
172.4862,188.0022,145.4625,135.765
172.4862,186.756,136.9287,174.555
172.4862,184.40136,232.74,133.59276
172.4862,182.5716,147.7899,100.854
172.4862,175.538,141.0663,155.16
172.378,172.4862,176.3652,64.31382
167.322,172.4862,103.44,62.99496
165.268,172.10793,101.6298,77.58
165.2454,163.87134,107.7069,21.17934
164.004,159.039,177.7875,114.12018
163.846,158,90.51,108.612
163.4352,158,23.6619,84.63978
158,158,193.95,102.09528
158,153.6678,129.3,10.31814
158,153.6678,147.7899,38.79
158,152.8326,119.3439,135.765
158,148.678,101.6298,71.14086
158,148.204,83.1399,232.74
158,147.52109,30.1269,148.72086
158,147.52109,193.95,110.86182
156.9702,147.52109,147.7899,103.41414
149.626,146.04587,107.7069,149.65182
146.782,143.7816,161.625,106.6725
146.782,143.0058,58.8315,96.975
146.782,142.35785,172.3569,126.0675
145.36,142.2,129.3,99.76788
145.30827,141.7128,221.6202,77.58
143.7816,140.51383,52.4958,92.3202
143.7816,140.51383,129.3,147.402
143.7816,140.462,64.65,126.92088
143.622,138.91569,64.65,159.96996
139.1268,136.986,142.23,86.19138
139.1268,136.57994,114.9477,103.41414
137.776,136.0236,109.3878,67.8825
137.618,135.406,82.2348,98.75934
137.46,134.472,103.44,131.26536
135.406,134.2134,116.37,103.41414
135.406,133.668,147.7899,128.007
134.85886,133.668,155.16,55.39212
134.616,133.668,229.8954,93.096
131.17083,132.562,129.3,164.8575
130.192,131.614,155.16,193.95
130.192,131.614,82.2348,104.733
129.3,130.55616,91.0272,89.52732
129.3,129.57269,23.5326,77.58
128.296,129.3,129.3,141.50592
126.4,129.3,193.95,116.37
126.4,128.296,193.95,163.77138
126.1968,126.9726,31.032,96.975
123.3522,126.4,161.625,25.13592
122.93424,126.4,94.0011,174.555
122.93424,124.662,94.0011,201.708
122.924,124.188,89.4756,80.14014
122.924,122.93424,150.8931,116.37
122.924,122.93424,119.3439,129.32586
122.5764,122.93424,152.8326,77.58
122.3178,122.93424,179.0805,86.19138
122.134,122.924,143.6523,132.35148
121.8006,122.924,129.3,135.765
121.186,122.924,104.733,116.37
120.7662,122.31957,105.7674,131.886
119.9904,121.8006,64.65,147.402
119.4732,121.502,140.0319,96.975
119.4732,121.502,159.6855,98.29386
118.6974,120.7662,75.3819,77.58
118.5,120.396,92.3202,137.93724
116.8872,119.9904,113.1375,10.8612
116.37,118.5,258.6,94.80276
116.1114,116.37,101.3712,96.975
115.8528,116.37,17.0676,96.975
115.68112,114.5598,193.95,99.06966
115.31232,114.20591,150.8931,135.765
114.866,113.784,150.8931,111.56004
114.392,112.812,25.86,119.8611
113.2668,112.2324,161.625,70.52022
112.812,111.74722,215.5431,105.27606
112.812,111.232,210.1125,137.23902
112.812,110.9394,184.7697,209.466
112.7307,110.6,155.16,88.13088
110.64081,110.02614,123.7401,129.32586
110.6,109.905,119.3439,106.6725
110.6,109.53441,145.4625,123.19704
109.968,109.3878,155.16,129.32586
109.78027,109.336,172.3569,109.7757
109.28854,108.3534,172.3569,118.38708
109.1292,108.0948,86.2431,77.58
108.704,107.0604,193.95,109.54296
108.704,106.58398,113.1375,106.51734
108.428,105.96931,147.7899,146.00556
108.072,105.386,203.1303,118.93014
107.319,105.386,193.95,110.86182
106.026,105.386,153.2205,93.56148
105.7674,104.733,101.2419,77.58
105.7674,104.4744,139.2561,90.53586
105.7674,103.44,73.8303,135.765
105.386,103.44,82.2348,145.4625
105.386,102.4056,129.3,148.10022
105.386,101.8884,158.0046,103.41414
105.2502,101.54368,143.6523,116.37
105.2502,100.854,172.3569,77.58
104.9916,100.854,119.3439,125.2917
104.733,100.33,193.95,118.3095
104.4744,100.0782,129.3,72.07182
104.00237,99.561,136.1529,93.096
103.648,99.3024,150.8931,
103.44,98.75,186.7092,
103.44,98.75,39.9537,
103.44,98.5266,109.3878,
103.44,98.5266,103.44,
103.016,98.34739,88.4412,
102.40422,98.0094,114.9477,
102.40422,97.4922,123.4815,
101.91,96.975,129.3,
101.8884,96.975,41.8932,
101.594,95.9406,203.1303,
101.278,95.682,113.1375,
100.962,95.64284,129.3,
100.56021,95.64284,129.3,
100.56021,95.02817,80.8125,
100.488,93.6132,155.16,
99.561,93.536,161.625,
98.75,93.096,,
98.75,92.904,,
98.34739,92.3202,,
98.118,92.20068,,
96.975,92.20068,,
96.975,92.114,,
96.975,90.7686,,
96.975,90.60253,,
96.538,88.9584,,
95.906,88.954,,
94.9062,88.51265,,
94.9062,87.848,,
94.8,87.848,,
94.8,87.848,,
94.8,87.848,,
94.389,86.9,,
93.694,86.1138,,
93.694,86.11,,
93.6132,85.8081,,
93.378,85.794,,
92.904,84.214,,
92.20068,83.84115,,
92.20068,83.7864,,
92.20068,83.47235,,
92.20068,83.2692,,
92.20068,83.0106,,
91.803,83.0106,,
91.2858,82.752,,
90.8484,82.476,,
90.218,82.2348,,
89.37319,82.2348,,
89.37319,82.16,,
89.217,81.7176,,
88.9584,80.4246,,
88.796,79.9074,,
88.48,79.6488,,
87.924,79.6488,,
87.848,79,,
87.848,79,,
87.77505,79,,
87.374,79,,
86.1138,79,,
86.1138,78.873,,
86.11,78.3558,,
86.11,78.18618,,
86.05397,78.0972,,
85.004,76.8042,,
83.84115,74.994,,
83.582,74.994,,
82.792,74.576,,
82.4934,73.786,,
82.476,73.786,,
82.2348,73.786,,
82.2348,73.76054,,
82.16,72.996,,
81.459,72.68,,
81.37,72.6666,,
81.212,72.6666,,
80.896,72.03946,,
80.896,71.89,,
80.6832,71.67066,,
80.6832,71.42479,,
80.166,71.416,,
80.166,70.8564,,
79.6488,70.8564,,
79.1316,70.626,,
79,70.5978,,
79,70.5978,,
79,70.5978,,
79,69.5634,,
79,69.52,,
79,68.414,,
79,67.8597,,
79,66.518,,
79,65.886,,
77.578,65.096,,
77.42,64.66341,,
77.07977,64.65,,
76.472,63.8742,,
76.287,63.357,,
75.524,63.2,,
75.2526,62.568,,
74.994,62.3226,,
74.734,61.2882,,
73.9596,60.83,,
73.786,60.83,,
73.312,60.198,,
71.8908,59.2194,,
71.67066,58.4436,,
69.52,57.4092,,
69.52,57.4092,,
69.0462,56.1162,,
67.4946,54.668,,
66.7188,54.5828,,
65.943,54.51,,
65.886,54.0474,,
65.52395,53.7888,,
64.65,53.72,,
63.357,53.2716,,
63.357,52.614,,
63.2,51.72,,
63.2,51.50945,,
63.2,51.26358,,
62.5812,50.718,,
62.41,50.6856,,
62.3226,50.1684,,
62.3226,48.822,,
61.462,47.716,,
61.146,46.2894,,
60.83,46.136,,
59.9952,44.556,,
58.4436,44.398,,
57.4092,44.2206,,
55.599,43.766,,
55.3,43.45,,
54.5646,41.8932,,
54.0474,41.238,,
53.7888,41.1174,,
52.614,40.922,,
52.00118,40.083,,
51.982,39.8244,,
51.72,39.5,,
50.1684,38.552,,
49.928,38.078,,
49.296,37.12614,,
48.664,35.4282,,
48.19,34.1352,,
48.0996,33.812,,
47.874,33.56105,,
47.0652,33.496,,
45.5136,32.8422,,
45.504,30.73356,,
44.2206,29.4804,,
43.962,26.702,,
43.924,26.386,,
42.66,25.86,,
42.4104,24.016,,
39.83069,,,
39.5,,,
39.5,,,
38.79,,,
36.88027,,,
35.866,,,
35.708,,,
35.6868,,,
34.918,,,
31.032,,,
30.02,,,
28.756,,,
28.39781,,,
27.9288,,,
25.3428,,,
23.11164,,,
12.04756,,,
